ID,Topic Keywords
1,"['saudi arabia', 'riyadh saudi', 'riyadh saudi arabia', 'jeddah saudi', 'dole akap']"
2,"['health pass', 'one health pass', 'one health', 'active owwa', 'alisin one health']"
3,"['dole akap', 'owwa membership', 'active owwa', 'matulungan ate', 'active owwa membership']"
4,"['dole akap', 'apply owwa', 'saudi arabia', 'owwa scholarship', 'apply owwa scholarship']"
5,"['apply scholarship', 'saudi riyadh', 'member owwa', 'dole akap', 'scholarship anak']"
6,"['doha qatar', 'riyadh ksa', 'jeddah ksa', 'scholarship program', 'owwa scholarship']"
7,"['avail scholarship', 'dole akap', 'dubai uae', 'isang ofw', 'scholarship ofw']"
8,"['dole akap', 'saudi arabia', 'scholar anak', 'balik pinas', 'single mom']"
9,"['scholarship anak', 'apply scholarship', 'apply scholarship anak', 'avail scholarship anak', 'loan owwa']"
10,"['apply scholar', 'ofw kuwait', 'dole akap', 'mandatory ibig', 'saudi arabia']"
